title,description,cover_img,genre,quantity
The Way of Kings,By Brandon Sanderson,https://covers.openlibrary.org/b/id/8232040-L.jpg,fantasy,10
Mistborn: The Final Empire,By Brandon Sanderson,https://covers.openlibrary.org/b/id/8232042-L.jpg,fantasy,10
The Lies of Locke Lamora,By Scott Lynch,https://covers.openlibrary.org/b/id/8232044-L.jpg,fantasy,10
Good Omens,By Neil Gaiman and Terry Pratchett,https://covers.openlibrary.org/b/id/8232046-L.jpg,fantasy,10
The Eye of the World,By Robert Jordan,https://covers.openlibrary.org/b/id/8232048-L.jpg,fantasy,10
The Priory of the Orange Tree,By Samantha Shannon,https://covers.openlibrary.org/b/id/8232050-L.jpg,fantasy,10
Uprooted,By Naomi Novik,https://covers.openlibrary.org/b/id/8232052-L.jpg,fantasy,10
The Blade Itself,By Joe Abercrombie,https://covers.openlibrary.org/b/id/8232054-L.jpg,fantasy,10
The Fifth Season,By N.K. Jemisin,https://covers.openlibrary.org/b/id/8232056-L.jpg,fantasy,10
Eragon,By Christopher Paolini,https://covers.openlibrary.org/b/id/8232058-L.jpg,fantasy,10
The Witcher: The Last Wish,By Andrzej Sapkowski,https://covers.openlibrary.org/b/id/8232060-L.jpg,fantasy,10
